"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1841463419947581530","Fri Oct 04 13:45:28 +0000 2024","0","@erickthohir Sudah salaman dg pak @erickthohir siap di Naturalisasi.","1842199361511715070","","erickthohir","in","","0","0","0","https://x.com/ErwinSatriani/status/1842199361511715070","78524723","ErwinSatriani"
"1842191124615901386","Fri Oct 04 13:43:23 +0000 2024","0","@unmagnetism Lokal nggak guna sudah paling benar naturalisasi. 10 Tahun tukang ngibul saja kerjaannya. Harusnya pejabat dinaturalisasi saja semua.","1842198833968849360","","unmagnetism","in","Central Region, Singapore","0","0","0","https://x.com/DindaLaw88/status/1842198833968849360","1731115890815664128","DindaLaw88"
"1842198505689092552","Fri Oct 04 13:42:04 +0000 2024","0","beritanya soal naturalisasi tapi pictnya brotowali ","1842198505689092552","","","in","","0","1","0","https://x.com/inibowoitubukan/status/1842198505689092552","2499680852","inibowoitubukan"
"1842168746192122254","Fri Oct 04 13:41:08 +0000 2024","2","@bahri_ocean @gilabola_ina Disumpah di KEDUTAAN INDONESIA di Belgia scr hukum International sy pikir tidak melanggar aturan. Sbb KEDUTAAN suatu negara ya UU negara Perwakilan tsb yg berlaku bukan UU negara dilokasi KEDUTAAN. China keder krn rerata naturalisasi kita dr Eropa (negara yg kuat di Sepakbola)","1842198269469880700","","bahri_ocean","in","","0","0","0","https://x.com/PANDHITADHYASA1/status/1842198269469880700","889674071910236160","PANDHITADHYASA1"
"1842198198497984618","Fri Oct 04 13:40:55 +0000 2024","1","Sebelumnya proses naturalisasi pemain di Timnas Indonesia kembali menjadi sorotan. Media China https://t.co/k8S9fxn9Uj secara terbuka menyatakan bahwa naturalisasi Mees Hilgers dan Eliano Reijnders tidak sah.","1842198214688080038","","Gerindra","in","Indonesia Raya ","0","1","0","https://x.com/Gerindra/status/1842198214688080038","397673651","Gerindra"
"1842198198497984618","Fri Oct 04 13:40:53 +0000 2024","2"," Mereka merasa dirugikan dengan perkembangan positif timnas kita paparnya. Elnino juga menentang pihak-pihak yang menganggap naturalisasi tersebut tidak sesuai regulasi untuk melaporkannya.","1842198208153633087","","Gerindra","in","Indonesia Raya ","0","1","0","https://x.com/Gerindra/status/1842198208153633087","397673651","Gerindra"
"1842198198497984618","Fri Oct 04 13:40:52 +0000 2024","3","Anggota DPR RI Fraksi Partai Gerindra Elnino M. Husein Mohi menilai pemberitaan dari media asal China https://t.co/k8S9fxnHJR yang menyebut bahwa proses naturalisasi PSSI untuk Mees Hilgers dan Eliano Reijnders tidak sesuai regulasi atau cacat hukum adalah bentuk","1842198201249763810","","Gerindra","in","Indonesia Raya ","0","1","0","https://x.com/Gerindra/status/1842198201249763810","397673651","Gerindra"
"1842198198497984618","Fri Oct 04 13:40:51 +0000 2024","14","Media China Soroti Naturalisasi Hilgers dan Eliano Elnino Sebut Kekhawatiran Terhadap Timnas Indonesia yang Semakin Kuat https://t.co/tBBgZoO38o","1842198198497984618","","","in","Indonesia Raya ","1","3","2","https://x.com/Gerindra/status/1842198198497984618","397673651","Gerindra"
"1842168746192122254","Fri Oct 04 13:40:39 +0000 2024","0","@gilabola_ina Naturalisasi (dapet setuju dari FIFA) &gt; CFA lapor AFC &gt; AFC tunduk sama FIFA","1842198148946825517","","gilabola_ina","in","Jakarta","0","0","0","https://x.com/dsntmeknow/status/1842198148946825517","1141364555357933573","dsntmeknow"
"1842051765442904117","Fri Oct 04 13:34:23 +0000 2024","0","@idn_abroad Semoga striker jir bosen naturalisasi bek muluu","1842196569925574992","","idn_abroad","in","Jatipuro, Indonesia","0","0","0","https://x.com/BukanGlenfredly/status/1842196569925574992","1057243108390268928","BukanGlenfredly"
"1842195229262135363","Fri Oct 04 13:29:03 +0000 2024","30","Kami banggain Paes doang? - Round 3 kualifikasi Piala Dunia 2026 - Lolos Piala Asia U-20 2025 - Berhasil nambah kekuatan (Mees Hilgers &amp; Eliano) sedangkan situ gagal naturalisasi pemain wkwk - Mees Hilgers main bagus lawan Emyu &amp; Fenerbahce","1842195229262135363","","","in","","1","5","0","https://x.com/gilabola_ina/status/1842195229262135363","1170153265444442113","gilabola_ina"
"1841139143046537393","Fri Oct 04 13:27:50 +0000 2024","0","@kucing_liar5 @dianoaxl @jusahourly ngapain mereka harus naturalisasi shinta appelkamp wkwkwk saingan appelkamp di timnas jepang itu kubo nakamura minamino kamada dll yg levelnya jauh diatas appelkamp. org pemain macam kyogo furuhashi aja sering ga dipanggil mereka itu butuhnya kiper macem emil gitu.","1842194921715126298","","kucing_liar5","in","","0","0","0","https://x.com/Melt__yourHeart/status/1842194921715126298","1296155080941424641","Melt__yourHeart"
"1842168746192122254","Fri Oct 04 13:25:46 +0000 2024","0","@gilabola_ina Seantusiasnya kita tentang naturalisasi 2 pemain itu tetap tidak dibenarkan klo mereka ( PSSI dan pemerintah ) melakukanya dengan melanggar hukum. Semoga mereka bisa membuktikan tudingan itu tidak benar. ","1842194401952743854","","temansekawan_","in","Tangerang, Indonesia","0","1","0","https://x.com/temansekawan_/status/1842194401952743854","2148185718","temansekawan_"
"1842168746192122254","Fri Oct 04 13:24:39 +0000 2024","0","@gilabola_ina Prmasalahanya bukan tntang china yg tkut atau apa. Klau memang benar sumpah WNI hrus dilakukan d indonesia dan tdk bisa dilakukan dinegara lain artinya naturalisasi kita benar2 tidk sah dan ugal ugalan. Tugas prtama cri tau apa bnar ada aturan soal sumpah hrus di indonesia.","1842194119298596883","","gilabola_ina","in","Tangerang, Indonesia","0","1","0","https://x.com/temansekawan_/status/1842194119298596883","2148185718","temansekawan_"
"1842168746192122254","Fri Oct 04 13:22:57 +0000 2024","0","@gilabola_ina Aturan yang jelas mengenai naturalisasi: Kedua organisasi ini memiliki aturan yang mengatur proses naturalisasi pemain termasuk persyaratan yang harus dipenuhi dan prosedur yang harus diikuti.","1842193694470099257","","nophagundol","in","apsela korek's","0","0","0","https://x.com/nophagundol/status/1842193694470099257","173004529","nophagundol"
"1842168746192122254","Fri Oct 04 13:21:16 +0000 2024","6","@Xeniel_2104 @tuinted @gilabola_ina Lagian FIFA juga gak ngurusin masalah gimana pemain tsb dptin kewarganegaraan mereka yg penting itu mereka eligible untuk main dg negara tsb. Soal hukum atau tahapan naturalisasi itu tergantung negara masing kalaupun melanggar aturan yg bisa hukum ya Indonesia sendiri wkwkwk.","1842193271415779789","","Xeniel_2104","in","Jawa timur_Indonesia","0","2","0","https://x.com/rutdi_santoso/status/1842193271415779789","2322999133","rutdi_santoso"
"1841853111771791437","Fri Oct 04 12:48:44 +0000 2024","0","@idextratime Sayang banget dia GK bisa di naturalisasi karena keturunan indonesia nya dari buyut kalo GK salah","1842185081731088617","","idextratime","in","","0","0","0","https://x.com/rizdrz345/status/1842185081731088617","1750180048118898688","rizdrz345"
"1842184826209911092","Fri Oct 04 12:47:43 +0000 2024","1","BREAKING NEWS/UPDATE 🇮🇩 Menurut media China 163 com proses naturalisasi Hilgers dan Eliano tidak sah. Dianggap durasi cepat proses naturalisasi Mees Hilgers dan Eliano Reijnders tidak lazim. 163 com juga menyoroti saat sumpah WNI Hilgers dan Eliano tak di Indonesia. https://t.co/um8okDCnGH","1842184826209911092","https://pbs.twimg.com/media/GZDBVh4aMAAupLg.jpg","","in","Stutgart","0","0","0","https://x.com/Nahrowi_wawie/status/1842184826209911092","78497424","Nahrowi_wawie"
"1841844693644259442","Fri Oct 04 12:47:19 +0000 2024","1","@jon_helmy @waskittyyy @lANZAlNAL @0xprtma Naturalisasi terbanyak di piala asia 2024 itu tim nasional malay","1842184726414819596","","jon_helmy","in","Pekanbaru","0","0","0","https://x.com/mkpasaribu/status/1842184726414819596","928649246810574848","mkpasaribu"
"1842092358198034600","Fri Oct 04 12:46:55 +0000 2024","0","@MacPrakoso @CNNIndonesia Naturalisasi pejabat dr Belanda kaya yg sdh dilakukannya timnas menaturalisasi pemain sepakbola &amp; terbukti skrg timnas sdh bagus ","1842184625172668686","","MacPrakoso","in","Di kolong langit","0","0","0","https://x.com/DONT_W0RRY/status/1842184625172668686","420156199","DONT_W0RRY"
"1842066664227238224","Fri Oct 04 12:45:18 +0000 2024","0","@jawafess Sampai kapanpun koyok e ra iso mlebu pildun Makane naturalisasi eropa Ben iso mendekati pildun","1842184219273179325","","jawafess","in","tulungagung","0","0","0","https://x.com/Doel_Aziz_/status/1842184219273179325","486760037","Doel_Aziz_"
"1842168746192122254","Fri Oct 04 12:42:10 +0000 2024","0","@RFU12 @gilabola_ina https://t.co/pgzA1kuEqO So far gua liat banyak komentator sana yg bilang naturalisasi kita udah legal kok","1842183432010629571","","RFU12","in","Jawa Timur, Indonesia","0","0","0","https://x.com/erieye666/status/1842183432010629571","1066492852039954432","erieye666"
"1842177974965268528","Fri Oct 04 12:42:05 +0000 2024","0","@lazyneess kirain mau naturalisasi yg lain ","1842183408891699295","","lazyneess","in","East Java, Indonesia","0","1","0","https://x.com/dearathens/status/1842183408891699295","1451429672093323269","dearathens"
"1842001070505263585","Fri Oct 04 12:39:12 +0000 2024","0","@joydizzles Glorifikasiin mulu pemain naturalisasi heran","1842182684422087062","","joydizzles","in","","0","2","0","https://x.com/Rizfad37/status/1842182684422087062","1813461612302639104","Rizfad37"
"1841033313102057773","Fri Oct 04 12:35:50 +0000 2024","0","@danialpalmer19 Lah korang pun udah ramai pemain naturalisasi tpi apa pencapaian korang selain merdeka cup? Lwn oman pun tewas","1842181837742801233","","danialpalmer19","in","","0","0","0","https://x.com/BanneJoshua/status/1842181837742801233","1500510646332362754","BanneJoshua"
"1842168746192122254","Fri Oct 04 12:31:24 +0000 2024","0","@gilabola_ina Dari https://t.co/YCrVloh2mG ini berita terbaru mereka mengenai naturalisasi pemain Indonesia. Cuma sekadar pendapat mereka ttg sepakbola Indo skrng yg banyak naturalisasi. Gaada bahas gugat menggugat. Ada yg nemu artikel aslinya? https://t.co/2fRMY0Fc9j","1842180720271196391","","gilabola_ina","in","","0","0","0","https://x.com/2jours1nuit/status/1842180720271196391","1648668343031988224","2jours1nuit"
"1842135768749461936","Fri Oct 04 12:29:34 +0000 2024","2","@UNDRESLIRVANA @FIZITHEGREAT @lsasukeyell Pantes pada banci (waria) rakyat meleis nya lebih hafal idol k-pop di banding pengetahuan sepakbola nya terkait peraturan naturalisasi dari FIFA chuakz :v ","1842180257304224018","","UNDRESLIRVANA","in","","0","0","0","https://x.com/Violetavach/status/1842180257304224018","1758958624691597312","Violetavach"
"1842091975757201741","Fri Oct 04 12:19:51 +0000 2024","0","@OnefootballM Gimananya jelasinnyaa kemenangan terbanyak indonesiaaa padahal malaysia udah naturalisasi dicampur sama bangladesh indiaa wkwk lol dari dulu https://t.co/xC8rDqxbfc","1842177815023948086","https://pbs.twimg.com/media/GZC69cwacAATJdN.jpg","OnefootballM","in","","0","0","0","https://x.com/autcharofdeat/status/1842177815023948086","1298157104818077696","autcharofdeat"
"1842167751118651542","Fri Oct 04 12:19:33 +0000 2024","3","@idextratime Asu Ronald Koeman Ian maatsen di panggil senior trzz di maenin pas tambahan waktu Al hasil king indo udh ga bisa naturalisasi Ian maatsen kontol juga ronal koeman","1842177738809151992","","idextratime","in","","0","1","0","https://x.com/88Badoy/status/1842177738809151992","1521537179729596422","88Badoy"
"1842038333519888740","Fri Oct 04 12:15:25 +0000 2024","11","@MafiaWasit kalo ga nonton futsal diem aja deh pemain indo udh bagus bgt pemainnya ga butuh naturalisasi. yg salah itu selama ini federasu yg suka ganti pelatih mendadak &amp; agenda futsal yg sedikit/sepi selain dari pfl","1842176697422258458","","MafiaWasit","in","","0","0","0","https://x.com/aalmaulanaa/status/1842176697422258458","1478765797161852928","aalmaulanaa"
"1842152198387728609","Fri Oct 04 12:13:59 +0000 2024","0","@trentarc Sebelum diajak naturalisasi gasih itu wkwk","1842176339589333187","","trentarc","in","","0","1","0","https://x.com/puffinad/status/1842176339589333187","1422354888785240109","puffinad"
